[10-Jun-2024 20:04:32 UTC] PHP Parse error:  syntax error, unexpected token ")", expecting variable in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 106
[10-Jun-2024 20:04:36 UTC] PHP Parse error:  syntax error, unexpected token ")", expecting variable in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 106
[10-Jun-2024 20:04:46 UTC] PHP Parse error:  syntax error, unexpected token ")", expecting variable in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 106
[10-Jun-2024 20:04:47 UTC] PHP Parse error:  syntax error, unexpected token ")", expecting variable in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 106
[10-Jun-2024 20:04:50 UTC] PHP Parse error:  syntax error, unexpected token ")", expecting variable in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 106
[10-Jun-2024 20:04:50 UTC] PHP Parse error:  syntax error, unexpected token ")", expecting variable in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 106
[10-Jun-2024 20:04:51 UTC] PHP Parse error:  syntax error, unexpected token ")", expecting variable in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 106
[10-Jun-2024 20:04:51 UTC] PHP Parse error:  syntax error, unexpected token ")", expecting variable in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 106
[10-Jun-2024 20:04:52 UTC] PHP Parse error:  syntax error, unexpected token ")", expecting variable in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 106
[10-Jun-2024 20:04:53 UTC] PHP Parse error:  syntax error, unexpected token ")", expecting variable in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/functions.php on line 106
[10-Jun-2024 20:05:17 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:05:17 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:05:17 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:05:18 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:05:18 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:05:18 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:05:19 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:05:19 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:05:19 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:46:56 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:46:56 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:46:56 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:47:06 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:47:06 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:47:06 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:47:21 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:47:21 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:47:21 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:47:48 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:47:48 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:47:48 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:01 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:01 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:01 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:24 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:24 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:24 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:34 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:34 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:34 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:39 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:39 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:39 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:43 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
